id,x,y,z,vx,vy,vz,radius,density,pressure,frame
1732,-0.339,3.388,2.521,0.026,-0.323,-2.006,0.1,943.162,-436.098,50
1731,-0.37,3.479,2.504,0.035,-0.318,-2.016,0.1,942.573,-438.996,50
1730,-0.381,3.573,2.489,0.047,-0.329,-2.012,0.1,945.334,-425.319,50
1729,-0.371,3.666,2.475,0.028,-0.336,-2.004,0.1,947.433,-414.767,50
1728,-0.334,3.752,2.46,0.019,-0.352,-2.004,0.1,940.932,-447.01,50
1727,-0.273,3.829,2.447,0.031,-0.345,-2.01,0.1,942.213,-440.759,50
1726,-0.199,3.888,2.437,0.027,-0.369,-2.003,0.1,947.802,-412.896,50
1725,-0.115,3.929,2.432,0.004,-0.36,-2.001,0.1,947.032,-416.793,50
1724,-0.02,3.943,2.429,-0.007,-0.359,-2.005,0.1,939.648,-453.221,50
1723,0.079,3.936,2.43,0.007,-0.362,-2.005,0.1,942.458,-439.558,50
1722,0.168,3.906,2.435,-0.02,-0.371,-2.001,0.1,949.822,-402.576,50
1721,0.247,3.856,2.443,-0.029,-0.35,-2.005,0.1,945.3,-425.492,50
1720,0.311,3.784,2.454,-0.025,-0.345,-2.009,0.1,939.392,-454.452,50
1719,0.359,3.699,2.469,-0.022,-0.35,-2.003,0.1,943.52,-434.333,50
1718,0.38,3.609,2.483,-0.046,-0.333,-2.007,0.1,949.439,-404.544,50
1717,0.378,3.516,2.498,-0.036,-0.316,-2.014,0.1,944.099,-431.469,50
1716,0.353,3.422,2.514,-0.03,-0.323,-2.012,0.1,940.227,-450.423,50
1715,0.307,3.339,2.529,-0.024,-0.319,-2.006,0.1,944.87,-427.637,50
1714,0.24,3.274,2.538,-0.026,-0.293,-2.016,0.1,946.796,-417.984,50
1713,0.158,3.225,2.546,-0.011,-0.292,-2.02,0.1,943.79,-432.997,50
1712,0.065,3.195,2.552,-0.013,-0.3,-2.013,0.1,942.412,-439.785,50
1711,-0.027,3.273,2.581,-0.01,-0.433,-2.04,0.1,1032.63,152.022,50
1710,-0.128,3.304,2.574,-0.024,-0.382,-2.06,0.1,1024.404,83.855,50
1709,-0.215,3.36,2.565,-0.057,-0.4,-2.05,0.1,1028.395,116.521,50
1708,-0.277,3.446,2.553,-0.088,-0.377,-2.052,0.1,1032.498,150.902,50
1707,-0.3,3.548,2.534,-0.05,-0.339,-2.067,0.1,1024.529,84.866,50
1706,-0.295,3.65,2.517,-0.083,-0.32,-2.061,0.1,1028.478,117.212,50
1705,-0.251,3.747,2.504,-0.078,-0.283,-2.071,0.1,1032.313,149.335,50
1704,-0.172,3.817,2.49,-0.025,-0.296,-2.072,0.1,1024.217,82.342,50
1703,-0.08,3.863,2.482,-0.027,-0.259,-2.072,0.1,1028.721,119.226,50
1702,0.027,3.875,2.483,0.011,-0.244,-2.078,0.1,1032.264,148.919,50
1701,0.128,3.842,2.485,0.025,-0.294,-2.07,0.1,1023.791,78.904,50
1700,0.215,3.787,2.495,0.055,-0.276,-2.072,0.1,1028.853,120.32,50
1699,0.278,3.701,2.511,0.089,-0.301,-2.066,0.1,1032.491,150.844,50
1698,0.3,3.599,2.525,0.051,-0.337,-2.063,0.1,1023.695,78.132,50
1697,0.295,3.496,2.543,0.082,-0.355,-2.062,0.1,1028.711,119.141,50
1696,0.25,3.4,2.56,0.078,-0.394,-2.047,0.1,1032.651,152.201,50
1695,0.172,3.33,2.57,0.027,-0.381,-2.058,0.1,1024.016,80.722,50
1694,0.08,3.283,2.578,0.026,-0.417,-2.05,0.1,1028.526,117.611,50
1693,0,3.379,2.546,0.002,-0.312,-1.993,0.1,982.505,-216.218,50
1692,-0.095,3.407,2.535,0.021,-0.29,-1.996,0.1,954.249,-379.501,50
1691,-0.168,3.475,2.531,0.014,-0.321,-1.991,0.1,982.447,-216.587,50
1690,-0.19,3.57,2.509,0.042,-0.326,-1.99,0.1,954.399,-378.712,50
1689,-0.168,3.666,2.499,0.012,-0.336,-1.989,0.1,982.33,-217.322,50
1688,-0.095,3.732,2.482,0.021,-0.362,-1.984,0.1,954.518,-378.081,50
1687,0,3.762,2.483,-0.002,-0.341,-1.988,0.1,982.283,-217.618,50
1686,0.095,3.732,2.482,-0.021,-0.362,-1.985,0.1,954.506,-378.142,50
1685,0.168,3.667,2.499,-0.014,-0.333,-1.99,0.1,982.316,-217.409,50
1684,0.19,3.57,2.509,-0.041,-0.326,-1.991,0.1,954.359,-378.919,50
1683,0.168,3.475,2.53,-0.012,-0.318,-1.992,0.1,982.447,-216.585,50
1682,0.095,3.407,2.535,-0.021,-0.291,-1.996,0.1,954.212,-379.698,50
1681,0.097,3.628,2.519,-0.001,-0.322,-1.956,0.1,1037.299,192.193,50
1680,0.097,3.518,2.538,-0.001,-0.321,-1.957,0.1,1037.319,192.366,50
1679,0,3.462,2.547,0,-0.32,-1.957,0.1,1037.353,192.664,50
1678,-0.097,3.518,2.538,0.001,-0.32,-1.957,0.1,1037.35,192.641,50
1677,-0.097,3.629,2.519,0.001,-0.321,-1.957,0.1,1037.34,192.553,50
1676,0,3.684,2.51,0,-0.322,-1.956,0.1,1037.311,192.296,50
1675,0,3.575,2.538,0,-0.325,-1.983,0.1,901.742,-615.186,50
1674,-0.029,3.173,2.453,0,-0.333,-1.954,0.1,982.547,-215.955,50
1673,-0.121,3.197,2.447,0.007,-0.303,-1.962,0.1,984.165,-205.718,50
1672,-0.206,3.239,2.44,0.014,-0.306,-1.961,0.1,985.444,-197.547,50
1671,-0.283,3.297,2.432,-0.008,-0.318,-1.957,0.1,984.082,-206.244,50
1670,-0.337,3.372,2.42,-0.001,-0.334,-1.953,0.1,981.301,-223.775,50
1669,-0.367,3.463,2.403,0.016,-0.311,-1.96,0.1,981.29,-223.841,50
1668,-0.377,3.556,2.388,0.021,-0.32,-1.959,0.1,987.645,-183.345,50
1667,-0.369,3.649,2.374,-0.006,-0.319,-1.957,0.1,986.161,-192.942,50
1666,-0.332,3.734,2.36,-0.007,-0.335,-1.953,0.1,979.344,-235.932,50
1665,-0.27,3.811,2.346,0.02,-0.32,-1.958,0.1,980.728,-227.351,50
1664,-0.197,3.869,2.337,0.011,-0.335,-1.956,0.1,990.544,-164.345,50
1663,-0.114,3.91,2.331,-0.007,-0.32,-1.957,0.1,986.433,-191.189,50
1662,-0.021,3.924,2.328,-0.013,-0.328,-1.955,0.1,977.248,-248.796,50
1661,0.08,3.916,2.329,0.018,-0.332,-1.955,0.1,981.558,-222.165,50
1660,0.166,3.886,2.335,-0.006,-0.334,-1.956,0.1,992.436,-151.758,50
1659,0.245,3.838,2.343,-0.012,-0.317,-1.958,0.1,985.716,-195.801,50
1658,0.309,3.766,2.354,-0.008,-0.323,-1.956,0.1,976.222,-255.03,50
1657,0.358,3.681,2.369,0.008,-0.336,-1.953,0.1,982.367,-217.091,50
1656,0.376,3.593,2.383,-0.014,-0.321,-1.958,0.1,991.681,-156.802,50
1655,0.375,3.501,2.397,-0.01,-0.306,-1.96,0.1,984.968,-200.598,50
1654,0.35,3.406,2.413,-0.01,-0.325,-1.956,0.1,977.67,-246.222,50
1653,0.306,3.323,2.428,0.003,-0.334,-1.954,0.1,982.81,-214.3,50
